no,Tgl_Iklan,url,Harga_juta,Kota_Provinsi,Luas_Tanah,Luas_Bangunan,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
41,07/05/2019,https://dagymoiproperti.wordpress.com/2019/05/07/segera-dibuka-perumahan-khalifa-land-sangaji-utara/,168,"Ternate, Maluku Utara",84,36,2,1,0,0,1,0,1300,,"Perumahan Sultan Residence - Kel. Sangaji Utara - Dufa2, Ternate","Perumahan dengan harga Jual Subsidi type 36/85 yang akan segera dibangun dan berlokasi strategis di Utara Kota Ternate, yaitu kelurahan Sangaji Utara berbatasan dengan Kel. Dufa2. Insha Allah menjadi perumahan subsidi terbesat di Ternate karena akan dibangun lebih dari 200unit. Segera dapatkan unitnya.."
42,23/07/2018,https://dagymoiproperti.wordpress.com/2018/07/23/perumahan-subsidi-dagymoi-green-park-tubo/,168,"Ternate, Maluku Utara",85,36,2,1,0,0,1,0,,AJB/BPHTB,"Perumahan Subsidi Dagymoi Green Park I, Tubo","Perumahan dengan Harga Jual Subsidi type 36/85 berlokasi hanya 5 menit dari Bandara Sultan Babullah Ternate, Insha Allah lokasi aman dan bebas banjir. Harga Jual belum termasuk biaya Administrasi Akad. Harga sudah termasuk IMB, PLN & PDAM. Denah type 36. Luas Bangunan 36m2. Luas Tanah 85m2. Prespektif Type 36/87"
43,04/07/2018,https://dagymoiproperti.wordpress.com/2018/07/04/perumahan-dagymoi-green-village-soa-puncak-ternate/,288,"Ternate, Maluku Utara",84,40,2,1,0,0,1,0,,SHM,"Update Harga Perumahan Dagymoi Green Village, Soa Puncak Ternate","Sertifikat Hak Milik 
➡2 kamar tidur 
➡1 kamar mandi 
➡ruang tamu 
➡ruang keluarga 
➡teras belakang large 
➡carport 
➡taman"
44,04/07/2018,https://dagymoiproperti.wordpress.com/2018/07/04/perumahan-dagymoi-green-village-soa-puncak-ternate/,316,"Ternate, Maluku Utara",84,45,2,1,0,0,1,0,,SHM,"Update Harga Perumahan Dagymoi Green Village, Soa Puncak Ternate","Sertifikat Hak Milik 
➡2 kamar tidur 
➡1 kamar mandi 
➡ruang tamu large 
➡ruang keluarga large 
➡teras belakang large 
➡carport 
➡taman"
45,04/07/2018,https://dagymoiproperti.wordpress.com/2018/07/04/perumahan-dagymoi-green-village-soa-puncak-ternate/,495,"Ternate, Maluku Utara",98,70,3,2,0,0,1,0,,SHM,"Update Harga Perumahan Dagymoi Green Village, Soa Puncak Ternate","Sertifikat Hak Milik 
➡3 kamar tidur 
➡2 kamar mandi 
➡ruang tamu large 
➡ruang keluarga xtra large 
➡ruang makan 
➡taman & teras belakang 
➡dapur 
➡carport 
➡taman depan"
46,04/07/2018,https://dagymoiproperti.wordpress.com/2018/07/04/perumahan-dagymoi-green-village-soa-puncak-ternate/,785,"Ternate, Maluku Utara",120,120,4,3,0,0,1,0,,SHM,"Update Harga Perumahan Dagymoi Green Village, Soa Puncak Ternate","Sertifikat Hak Milik 
➡4 kamar tidur 
➡3 kamar mandi 
➡ruang tamu large 
➡ruang makan 
➡ruang keluarga xtra large 
➡tempat jemur pakaian 
➡taman & teras belakang 
➡dapur 
➡balkon 
➡carport"
47,25/02/2018,https://dagymoiproperti.wordpress.com/2018/02/25/jambula-residence/,300,"Ternate, Maluku Utara",98,70,2,2,0,0,1,0,1100,SHM,Jambula Residence (SOLD),"Tipe 70 Jambula Residence. Fasilitas : 2 kamar tidur, 2 kamar mandi,carport, dapur,taman, ruang tamu, ruang keluarga. Hanya tersedia 4 unit tipe 70 Jambula Residence"
48,25/02/2018,https://dagymoiproperti.wordpress.com/2018/02/25/marabose-permai-bacan-halsel/,168,"Bacan, Maluku Utara",36,98,2,1,0,0,1,0,,SHM,"Marabose Permai, Bacan Halsel","Perumahan Marabose Permai berlokasi di Kota Bacan, Kab. Halmahera Selatan. Perumahan dengan type 36/98 yang memiliki lokasi strategis di Kota Bacan. Tahun 2020 dibangun dengan konsep Baru yang minimalis. Model bangunan terbaru minimalis type 36 dengan luas tanah 98m2. Perumahan Marabose Permai bekerjasama dengan BNI Syariah, yg menawarkan angsuran flat dan tanpa Riba."
49,25/02/2018,https://dagymoiproperti.wordpress.com/2018/02/25/jambula-residence/,141,"Ternate, Maluku Utara",87,36,2,1,0,0,1,0,1100,SHM,Jambula Residence (SOLD),"Tipe 36 Jambula Residence.Cicilan 870rb-an/bulan. Fasilitas 2 kamar tidur, 1 kamar mandi, ruang tamu/keluarga, carport. Tipe 36 Jambula Residence hanya 17 unit"
50,26/08/2017,umah.waa2.co.id/detail?id=a04cea79e8364426510937f5f22df56a&q=rumah%20ambon%20maluku&type=sale,900,"Ambon, Maluku",314,300,8,5,0,0,0,0,,,Rumah dijual rumah kos dijual investasi cerdas untuk masa depan,"Rumah dijual rumah kos dijual investasi cerdas untuk masa depan lokasi strategis sertifikat lengkap aman harga murah dijual rumah rumah kost 8 kamar 5 kamar mandi dan 1 ruang toko harga sewa saat ini 5 kamar 500-700rb. 3 kamar 800-1jt tiap bulan. harga sewa setiap tahun meningkat listrik oke, air sumur melimpah dekat mall terbesar di ambon acc dekat masjid, gereja dan kepolisian didepan jalan aspal tempat parkir ada, lingkungan aman luas tanah 314m2 luas bangunan 300 m2 harga 900juta alamat lorong pln passo ambon maluku telp o85..649..583..956.."
